Symbol,Timeframe,Strategy,Trades,WinRate%,TotalPnL,Return%,DailyAvg%,Sharpe,MaxDD%
ADA/USDT,1h,Grid Trading,37,67.6,16484.19,164.84,1.83,6.67,14.83
WIF/USDT,1h,EMA Cross + Protector,1,100.0,2740.79,27.41,0.3,1.93,17.08
ADA/USDT,1h,EMA Cross + Protector,1,100.0,2501.89,25.02,0.28,2.62,15.82
XRP/USDT,1h,EMA Cross + Protector,1,100.0,2405.34,24.05,0.27,2.84,12.31
SOL/USDT,1h,Grid Trading,24,50.0,2026.78,20.27,0.23,1.67,23.67
LTC/USDT,1h,EMA Cross + Protector,1,100.0,1872.32,18.72,0.21,2.34,11.36
BTC/USDT,1h,EMA Cross + Protector,1,100.0,1649.48,16.49,0.18,2.5,8.37
LINK/USDT,1h,EMA Cross + Protector,1,100.0,1362.27,13.62,0.15,1.48,14.66
BTC/USDT,1h,Grid Trading,13,61.5,1352.15,13.52,0.15,1.56,20.7
SOL/USDT,1h,EMA Cross + Protector,1,100.0,1260.9,12.61,0.14,1.39,19.96
ETH/USDT,1h,EMA Cross + Protector,1,100.0,1213.77,12.14,0.13,1.53,15.12
LINK/USDT,1h,Grid Trading,23,47.8,960.0,9.6,0.11,0.96,14.41
WIF/USDT,1h,RSI + SMA,30,66.7,806.03,8.06,0.09,1.36,10.26
LTC/USDT,1h,Grid Trading,13,46.2,753.25,7.53,0.08,0.86,15.35
SOL/USDT,1h,RSI + SMA,27,63.0,630.31,6.3,0.07,1.63,4.83
BTC/USDT,1h,RSI + SMA,21,57.1,347.24,3.47,0.04,1.27,3.97
LINK/USDT,1h,RSI + SMA,31,58.1,199.72,2.0,0.02,0.52,5.66
AAVE/USDT,1h,RSI + SMA,27,66.7,142.74,1.43,0.02,0.38,7.51
AAVE/USDT,1h,EMA Cross + Protector,1,100.0,141.15,1.41,0.02,0.42,34.3
ETH/USDT,1h,RSI + SMA,27,48.1,-359.35,-3.59,-0.04,-0.73,10.8
LTC/USDT,1h,RSI + SMA,23,47.8,-457.57,-4.58,-0.05,-1.16,11.01
ETH/USDT,1h,Grid Trading,20,45.0,-927.01,-9.27,-0.1,-0.59,27.5
XRP/USDT,1h,RSI + SMA,28,57.1,-997.17,-9.97,-0.11,-2.26,13.26
ADA/USDT,1h,RSI + SMA,25,52.0,-1153.3,-11.53,-0.13,-2.26,15.08
XRP/USDT,1h,Grid Trading,27,37.0,-2617.24,-26.17,-0.29,-2.37,37.2
AAVE/USDT,1h,Grid Trading,40,25.0,-5087.87,-50.88,-0.57,-3.9,53.65
WIF/USDT,1h,Grid Trading,51,23.5,-6255.36,-62.55,-0.7,-5.03,64.95
