Symbol,Timeframe,Strategy,Trades,WinRate%,TotalPnL,Return%,DailyAvg%,Sharpe,MaxDD%,CalmarRatio
ADA/USDT,1h,Grid Trading,37,67.6,16484.19,164.84,1.83,6.67,14.83,11.12
AVAX/USDT,1h,MACD Scalper,1,100.0,3253.97,32.54,0.36,3.35,8.09,4.02
APT/USDT,1h,EMA Cross + Protector,1,100.0,3497.36,34.97,0.39,2.78,8.8,3.97
AVAX/USDT,1h,VWAP Reversion,1,100.0,3210.62,32.11,0.36,3.2,8.17,3.93
APT/USDT,1h,Trend Breakout,1,100.0,4321.38,43.21,0.48,3.48,11.44,3.78
DOT/USDT,1h,EMA Cross + Protector,1,100.0,2986.28,29.86,0.33,2.68,9.4,3.18
AVAX/USDT,1h,EMA Cross + Protector,1,100.0,2761.65,27.62,0.31,2.86,9.01,3.07
BTC/USDT,1h,MACD Scalper,1,100.0,1923.14,19.23,0.21,2.97,7.92,2.43
BTC/USDT,1h,VWAP Reversion,1,100.0,1873.18,18.73,0.21,2.76,8.0,2.34
ADA/USDT,1h,MACD Scalper,1,100.0,3130.25,31.3,0.35,3.37,13.95,2.24
AVAX/USDT,1h,Grid Trading,24,58.3,4174.76,41.75,0.46,2.65,18.64,2.24
XRP/USDT,1h,VWAP Reversion,1,100.0,2531.86,25.32,0.28,2.73,11.97,2.12
DOT/USDT,1h,Grid Trading,32,50.0,4184.66,41.85,0.46,2.63,20.03,2.09
ADA/USDT,1h,VWAP Reversion,1,100.0,2988.74,29.89,0.33,3.05,14.36,2.08
BTC/USDT,1h,EMA Cross + Protector,1,100.0,1646.55,16.47,0.18,2.5,8.37,1.97
XRP/USDT,1h,EMA Cross + Protector,1,100.0,2404.66,24.05,0.27,2.84,12.31,1.95
LINK/USDT,1h,MACD Scalper,1,100.0,2200.27,22.0,0.24,2.37,12.42,1.77
AVAX/USDT,1h,RSI + SMA,43,65.1,1116.39,11.16,0.12,1.75,6.42,1.74
LINK/USDT,1h,VWAP Reversion,1,100.0,2144.68,21.45,0.24,2.25,12.56,1.71
LTC/USDT,1h,EMA Cross + Protector,1,100.0,1872.32,18.72,0.21,2.34,11.36,1.65
ATOM/USDT,1h,MACD Scalper,1,100.0,3037.98,30.38,0.34,2.21,18.61,1.63
WIF/USDT,1h,EMA Cross + Protector,1,100.0,2740.79,27.41,0.3,1.93,17.08,1.61
ADA/USDT,1h,EMA Cross + Protector,1,100.0,2501.89,25.02,0.28,2.62,15.82,1.58
ATOM/USDT,1h,Trend Breakout,1,100.0,2845.35,28.45,0.32,2.02,19.53,1.46
SOL/USDT,1h,RSI + SMA,27,63.0,630.31,6.3,0.07,1.63,4.83,1.3
ETH/USDT,1h,VWAP Reversion,1,100.0,1743.06,17.43,0.19,2.16,13.69,1.27
ETH/USDT,1h,MACD Scalper,1,100.0,1724.52,17.25,0.19,2.14,13.74,1.26
SOL/USDT,1h,VWAP Reversion,1,100.0,2060.32,20.6,0.23,2.22,17.11,1.2
SOL/USDT,1h,MACD Scalper,1,100.0,1998.95,19.99,0.22,2.14,17.32,1.15
LINK/USDT,1h,EMA Cross + Protector,1,100.0,1362.27,13.62,0.15,1.48,14.66,0.93
BTC/USDT,1h,RSI + SMA,21,57.1,347.24,3.47,0.04,1.27,3.97,0.87
SOL/USDT,1h,Grid Trading,24,50.0,2036.11,20.36,0.23,1.67,23.67,0.86
ETH/USDT,1h,EMA Cross + Protector,1,100.0,1210.37,12.1,0.13,1.52,15.12,0.8
WIF/USDT,1h,RSI + SMA,30,66.7,806.03,8.06,0.09,1.36,10.26,0.79
LINK/USDT,1h,Grid Trading,23,47.8,960.0,9.6,0.11,0.96,14.41,0.67
BTC/USDT,1h,Grid Trading,13,61.5,1356.19,13.56,0.15,1.56,20.7,0.66
SOL/USDT,1h,EMA Cross + Protector,1,100.0,1254.17,12.54,0.14,1.38,19.96,0.63
LTC/USDT,1h,Grid Trading,13,46.2,753.25,7.53,0.08,0.86,15.35,0.49
BNB/USDT,1h,Grid Trading,12,50.0,604.0,6.04,0.07,0.84,13.66,0.44
BNB/USDT,1h,VWAP Reversion,1,100.0,678.93,6.79,0.08,0.89,16.68,0.41
AAVE/USDT,1h,MACD Scalper,1,100.0,1155.0,11.55,0.13,1.1,29.12,0.4
LINK/USDT,1h,RSI + SMA,31,58.1,199.72,2.0,0.02,0.52,5.66,0.35
INJ/USDT,1h,VWAP Reversion,1,100.0,1247.5,12.47,0.14,0.98,43.31,0.29
AAVE/USDT,1h,VWAP Reversion,1,100.0,790.88,7.91,0.09,0.82,30.92,0.26
AAVE/USDT,1h,RSI + SMA,27,66.7,142.74,1.43,0.02,0.38,7.51,0.19
NEAR/USDT,1h,MACD Scalper,1,100.0,852.47,8.52,0.09,0.84,47.04,0.18
NEAR/USDT,1h,Trend Breakout,1,100.0,754.53,7.55,0.08,0.81,47.03,0.16
NEAR/USDT,1h,EMA Cross + Protector,1,100.0,279.55,2.8,0.03,0.62,46.97,0.06
INJ/USDT,1h,Grid Trading,66,40.9,179.58,1.8,0.02,0.53,35.32,0.05
AAVE/USDT,1h,EMA Cross + Protector,1,100.0,141.15,1.41,0.02,0.42,34.3,0.04
SOL/USDT,1h,Adaptive SuperTrend,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WIF/USDT,1h,Adaptive SuperTrend,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XRP/USDT,1h,Adaptive SuperTrend,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INJ/USDT,1h,Adaptive SuperTrend,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOT/USDT,1h,Adaptive SuperTrend,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVAX/USDT,1h,Adaptive SuperTrend,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH/USDT,1h,Adaptive SuperTrend,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATOM/USDT,1h,Adaptive SuperTrend,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTC/USDT,1h,Adaptive SuperTrend,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BNB/USDT,1h,Adaptive SuperTrend,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
