fecha_entrada,fecha_cierre,par,lado_spread,simbolo_y,lado_y,precio_entrada_y,precio_cierre_y,simbolo_x,lado_x,precio_entrada_x,precio_cierre_x,gamma,z_entrada,z_cierre,pnl_neto_usdt,motivo_cierre
2026-08-14 23:45:38,2026-08-15 01:55:30,SUIUSDT/APTUSDT,SHORT_SPREAD,SUIUSDT,SELL,0.6865,0.6826,APTUSDT,BUY,0.5425,0.5425,0.9212,2.12,-0.11,0.45,Spread Mean-Reverted (Z=-0.11)
2026-08-15 06:35:28,2026-08-15 08:41:16,SUIUSDT/APTUSDT,SHORT_SPREAD,SUIUSDT,SELL,0.6839,0.6823,APTUSDT,BUY,0.5399,0.5407,1.1935,2.18,-0.01,0.22,Spread Mean-Reverted (Z=-0.01)
2026-08-15 08:43:51,2026-08-15 10:10:33,SUIUSDT/APTUSDT,LONG_SPREAD,SUIUSDT,BUY,0.6821,0.6835,APTUSDT,SELL,0.5430,0.5420,1.1231,-2.01,-0.02,0.22,Spread Mean-Reverted (Z=-0.02)
2026-08-15 10:18:55,2026-08-15 10:22:58,SUIUSDT/APTUSDT,LONG_SPREAD,SUIUSDT,BUY,0.6829,0.6829,APTUSDT,SELL,0.5448,0.5412,0.9394,-2.23,0.07,0.53,Spread Mean-Reverted (Z=0.07)
2026-08-16 15:13:19,2026-08-16 15:23:45,SUIUSDT/APTUSDT,LONG_SPREAD,SUIUSDT,BUY,0.6741,0.6742,APTUSDT,SELL,0.5301,0.5251,0.4274,-2.11,-0.13,0.23,Spread Mean-Reverted (Z=-0.13)
2026-08-16 15:40:55,2026-08-16 15:44:35,BTCUSDT/ETHUSDT,SHORT_SPREAD,BTCUSDT,SELL,63003.7000,63003.1000,ETHUSDT,BUY,1875.4500,1872.2200,22.9147,2.85,3.97,-6.32,Spread Divergence Stop Loss (Z=3.97)
2026-08-16 15:44:58,2026-08-16 16:02:45,BTCUSDT/ETHUSDT,SHORT_SPREAD,BTCUSDT,SELL,62926.4000,62838.9000,ETHUSDT,BUY,1873.2100,1872.5300,22.9733,2.16,0.09,-1.44,Spread Mean-Reverted (Z=0.09)
2026-08-16 16:23:07,2026-08-16 16:36:29,BTCUSDT/ETHUSDT,LONG_SPREAD,BTCUSDT,BUY,62871.0000,62806.8000,ETHUSDT,SELL,1877.0200,1871.6800,24.4328,-2.06,0.19,9.87,Spread Mean-Reverted (Z=0.19)
2026-08-16 16:48:21,2026-08-16 17:00:57,BTCUSDT/ETHUSDT,LONG_SPREAD,BTCUSDT,BUY,62746.1000,62877.1000,ETHUSDT,SELL,1872.7800,1874.9700,25.7282,-2.26,-0.08,-4.60,Spread Mean-Reverted (Z=-0.08)
2026-08-16 15:42:01,2026-08-16 17:44:51,SUIUSDT/APTUSDT,LONG_SPREAD,SUIUSDT,BUY,0.6698,0.6708,APTUSDT,SELL,0.5192,0.5183,0.4202,-2.11,-0.04,-0.07,Spread Mean-Reverted (Z=-0.04)
